product_id,product_name,category,brand,price,cost,stock_quantity,weight_kg,created_date,is_active
P1001,Laptop Pro,Electronics,Dell,999.99,700.00,45,2.1,2023-01-10,TRUE
P1002,Wireless Mouse,Electronics,Logitech,29.99,12.50,300,0.12,2023-01-12,TRUE
P1003,USB Cable,Electronics,Anker,$14.99,4.00,1000,0.05,2023/01/15,Yes
P1004,Office Chair,Furniture,IKEA,199.99,150.00,55,15.5,2023-02-01,TRUE
P1005,Standing Desk,Furniture,Ikea,499,350,20,35.2,2023-02-05,TRUE
P1006,Coffee Maker,Kitchen,Ninja,89.99,55.25,-5,3.5,2023-02-10,TRUE
P1007,Blender,Kitchen,Ninja,,40.00,35,2.2,2023-02-15,FALSE
P1008,Water Bottle,Sports,Hydro Flask,39.95,20.00,250,0.45,2023-03-01,TRUE
P1009,Yoga Mat,Sports,Nike,49,25,100,1.3,2023-03-05,true
P1010,Tennis Racket,Sports,Wilson,-120,80,15,0.9,2023-03-10,TRUE
P1011,Notebook,Office,Staples,3.49,1.10,5000,.3,2023-04-01,Y
P1012,Pen Pack,Office,BIC,12,4,800,,2023-04-02,N
P1013,Gaming Monitor,Electronics,LG,"399,99",250,50,5.6,2023-04-15,TRUE
P1014,External SSD,Electronics,Samsung,129.99,95.00,80,0.08,2023-04-18,TRUE
P1015,Air Fryer,Kitchen,Philips,179.99,110.00,40,5.5,2023-04-20,TRUE
P1016,Smart Watch,Electronics,Apple,499.99,300.00,25,0.2,2023-05-01,TRUE
P1017,Bluetooth Speaker,Electronics,JBL,89.99,50.00,150,1.1,2023-05-10,TRUE
P1018,Vacuum Cleaner,Home,Dyson,699.99,450.00,10,4.5,2023-05-20,TRUE
P1019,"LED TV 55""""",Electronics,Sony,899.99,650.00,12,15.0,2023-06-01,TRUE
P1020,Electric Kettle,Kitchen,Hamilton Beach,39.99,20.00,70,1.1,2023-06-10,TRUE
P1020,Electric Kettle,Kitchen,Hamilton Beach,39.99,20.00,70,1.1,2023-06-10,TRUE
BADID,Unknown Product,Misc,Unknown,,0,,?,bad-date,unknown
P1023,Furniture Item 1,Furniture,HomePlus,$433.64,$258.47,15,2.12,2023-12-08,TRUE
P1024,Furniture Item 2,Furniture,HomePlus,$430.88,$315.86,429,30.63,2023-08-01,Yes
P1025,Furniture Item 3,Furniture,HomePlus,$452.19,$326.16,401,5.99,2024-09-02,TRUE
P1026,Sports Item 4,Sports,FitPro,$452.71,$344.07,71,21.65,2023-06-28,TRUE
P1027,Electronics Item 5,Electronics,TechCo,$84.83,$57.06,408,9.59,2023-11-28,TRUE
P1028,Furniture Item 6,Furniture,HomePlus,$142.92,$109.82,220,21.09,2025-02-02,TRUE
P1029,Kitchen Item 7,Kitchen,KitchenCo,$271.22,$182.07,308,4.45,2024-05-30,TRUE
P1030,Books Item 8,Books,ReadWell,$40.42,$22.13,448,26.39,2023-11-05,FALSE
P1031,Electronics Item 9,Electronics,TechCo,$45.96,$29.03,210,17.11,2023-04-21,FALSE
P1032,Kitchen Item 10,Kitchen,KitchenCo,$43.04,$34.03,316,6.02,2023-05-10,FALSE
P1033,Books Item 11,Books,ReadWell,$417.98,$255.07,171,15.3,2024-09-03,Yes
P1034,Sports Item 12,Sports,FitPro,$310.29,$184.22,55,31.74,2023-04-28,Yes
P1035,Books Item 13,Books,ReadWell,$397.51,$289.73,236,35.53,2024-02-28,FALSE
P1036,Kitchen Item 14,Kitchen,KitchenCo,$289.85,$162.50,165,17.13,2024-11-12,FALSE
P1037,Sports Item 15,Sports,FitPro,$667.72,$381.67,247,2.78,2023-03-29,TRUE
P1038,Kitchen Item 16,Kitchen,KitchenCo,$77.27,$43.14,420,5.29,2023-03-03,Yes
P1039,Books Item 17,Books,ReadWell,$393.83,$226.86,215,14.21,2024-11-12,FALSE
P1040,Electronics Item 18,Electronics,TechCo,$651.16,$387.52,185,4.23,2024-06-03,TRUE
P1041,Furniture Item 19,Furniture,HomePlus,$364.73,$264.41,60,14.07,2024-07-23,FALSE
P1042,Electronics Item 20,Electronics,TechCo,$508.12,$306.23,418,17.22,2024-07-28,Yes
